 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1U-C-Z1.tif,2.341,9.457,0.329,3.384,297,4,139.399,1.487,2.612,0.383,0.633
2,1U-C-Z1.tif,2.013,5.608,0.804,2.052,656,26,10.305,1.377,1.4,0.714,0.923
3,1U-C-Z1.tif,1.078,4.247,0.751,1.505,451,14,127.569,1.155,1.265,0.79,0.862
4,1U-C-Z1.tif,1.272,5.134,0.606,1.687,483,34,67.62,1.391,1.307,0.765,0.799
5,1U-C-Z1.tif,1.617,5.263,0.733,1.858,616,38,57.095,1.33,1.5,0.667,0.824
6,1U-C-Z1.tif,2.147,6.324,0.675,2.323,388,21,99.09,1.463,1.542,0.648,0.849
7,1U-C-Z1.tif,2.973,6.472,0.892,2.21,334,26,131.634,1.744,1.215,0.823,0.94
8,1U-C-Z1.tif,1.221,4.095,0.915,1.513,366,41,75.964,1.009,1.432,0.698,0.935
9,1U-C-Z1.tif,2.282,5.554,0.93,1.945,593,47,70.71,1.56,1.155,0.866,0.944
10,1U-C-Z1.tif,1.912,5.165,0.9,1.835,534,45,53.13,1.539,1.165,0.858,0.934
11,1U-C-Z1.tif,2.67,5.944,0.95,2.181,664,31,112.249,1.652,1.238,0.808,0.953
12,1U-C-Z1.tif,1.187,4.064,0.904,1.513,271,34,104.036,1.101,1.254,0.797,0.919
13,1U-C-Z1.tif,3.116,6.517,0.922,2.27,418,36,104.036,1.835,1.185,0.844,0.945
14,1U-C-Z1.tif,1.878,5.187,0.877,1.828,633,56,72.474,1.436,1.313,0.761,0.923
15,1U-C-Z1.tif,1.381,7.381,0.319,1.858,290,46,159.775,1.428,1.538,0.65,0.648
16,1U-C-Z1.tif,1.246,4.171,0.9,1.568,648,44,110.556,1.101,1.386,0.722,0.922
17,1U-C-Z1.tif,2.131,8.495,0.371,3.117,736,70,42.614,1.233,3.013,0.332,0.749
18,1U-C-Z1.tif,3.908,8.602,0.664,2.965,575,79,68.199,1.984,1.539,0.65,0.845
19,1U-C-Z1.tif,1.886,5.134,0.899,1.772,692,48,111.251,1.542,1.117,0.895,0.916
20,1U-C-Z1.tif,4.152,7.877,0.841,2.647,530,61,123.69,2.202,1.133,0.883,0.92
21,1U-C-Z1.tif,2.324,5.836,0.857,2.142,398,86,80.134,1.558,1.387,0.721,0.926
22,1U-C-Z1.tif,2.636,6.906,0.695,2.449,436,96,77.005,1.61,1.616,0.619,0.863
23,1U-C-Z1.tif,3.529,6.906,0.93,2.471,590,97,74.932,1.927,1.279,0.782,0.953
24,1U-C-Z1.tif,1.381,6.485,0.413,2.27,792,85,14.036,1.161,2.336,0.428,0.62
25,1U-C-Z1.tif,2.055,7.036,0.522,2.266,878,106,58.241,1.538,1.549,0.646,0.824
26,1U-C-Z1.tif,1.356,4.377,0.889,1.654,520,87,146.31,1.19,1.339,0.747,0.925
27,1U-C-Z1.tif,3.107,6.593,0.898,2.471,362,87,111.801,1.799,1.357,0.737,0.939
28,1U-C-Z1.tif,1.87,5.371,0.814,1.883,450,104,46.975,1.386,1.303,0.767,0.895
29,1U-C-Z1.tif,1.6,4.906,0.836,1.707,503,87,126.254,1.368,1.113,0.898,0.922
30,1U-C-Z1.tif,2.24,5.425,0.957,1.858,405,108,57.095,1.56,1.1,0.909,0.952
31,1U-C-Z1.tif,1.011,4.247,0.704,1.772,708,108,68.749,0.89,2.107,0.475,0.863
32,1U-C-Z1.tif,1.263,4.27,0.871,1.513,641,111,75.964,1.272,1.084,0.923,0.89
33,1U-C-Z1.tif,1.962,5.134,0.936,1.763,603,114,51.34,1.518,1.151,0.869,0.934
34,1U-C-Z1.tif,3.908,12.264,0.326,4.27,806,118,8.653,2.362,2.394,0.418,0.58
35,1U-C-Z1.tif,1.297,4.194,0.927,1.401,519,101,121.608,1.285,1.043,0.959,0.925
36,1U-C-Z1.tif,3.84,10.343,0.451,3.224,338,139,85.101,2.019,1.441,0.694,0.802
37,1U-C-Z1.tif,1.154,4.301,0.784,1.654,434,124,56.31,1.038,1.544,0.648,0.895
38,1U-C-Z1.tif,2.594,12.429,0.211,2.642,770,136,69.677,2.089,1.494,0.67,0.58
39,1U-C-Z1.tif,1.794,8.074,0.346,3.055,561,129,32.735,1.23,2.74,0.365,0.625
40,1U-C-Z1.tif,3.15,6.593,0.911,2.322,417,149,71.565,1.926,1.201,0.832,0.937
41,1U-C-Z1.tif,1.693,5.08,0.824,1.714,541,144,74.476,1.377,1.258,0.795,0.897
42,1U-C-Z1.tif,3.242,11.869,0.289,2.774,614,129,124.216,1.986,1.382,0.723,0.745
43,1U-C-Z1.tif,2.577,6.365,0.799,2.266,454,150,58.241,1.652,1.334,0.75,0.909
44,1U-C-Z1.tif,3.166,7.067,0.797,2.642,435,159,69.677,1.666,1.661,0.602,0.92
45,1U-C-Z1.tif,1.667,4.928,0.863,1.707,508,134,126.254,1.377,1.21,0.826,0.906
46,1U-C-Z1.tif,9.811,24.598,0.204,4.994,572,184,69.567,3.762,1.31,0.763,0.653
47,1U-C-Z1.tif,2.046,6.937,0.534,2.809,235,133,128.367,1.234,2.375,0.421,0.792
48,1U-C-Z1.tif,4.691,15.455,0.247,3.397,753,140,128.418,2.826,1.106,0.904,0.649
49,1U-C-Z1.tif,1.448,4.431,0.927,1.624,485,139,132.709,1.269,1.273,0.785,0.93
50,1U-C-Z1.tif,1.743,7.188,0.424,2.493,607,143,96.34,1.306,2.013,0.497,0.741
51,1U-C-Z1.tif,1.651,4.744,0.922,1.687,698,143,112.38,1.377,1.118,0.894,0.922
52,1U-C-Z1.tif,1.844,7.707,0.39,2.471,814,173,74.932,1.56,1.745,0.573,0.621
53,1U-C-Z1.tif,3.672,7.067,0.924,2.479,403,150,128.991,2.076,1.184,0.845,0.954
54,1U-C-Z1.tif,1.171,4.194,0.836,1.494,461,165,42.51,1.181,1.308,0.764,0.88
