 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4D-C-Z4.tif,0.005,0.320,0.620,0.113,298,12,22.834,0.079,1.508,0.663,0.803
2,4D-C-Z4.tif,0.005,0.403,0.407,0.134,474,10,9.462,0.075,1.532,0.653,0.704
3,4D-C-Z4.tif,0.004,0.267,0.646,0.101,161,20,60.642,0.056,1.912,0.523,0.823
4,4D-C-Z4.tif,0.004,0.307,0.568,0.108,549,3,104.744,0.060,1.872,0.534,0.794
5,4D-C-Z4.tif,0.003,0.322,0.407,0.101,899,20,67.620,0.072,1.851,0.540,0.679
6,4D-C-Z4.tif,0.007,0.351,0.681,0.129,346,4,140.194,0.089,1.517,0.659,0.850
7,4D-C-Z4.tif,0.004,0.225,0.880,0.079,715,16,56.310,0.066,1.212,0.825,0.893
8,4D-C-Z4.tif,0.011,0.433,0.741,0.155,874,30,62.526,0.110,1.327,0.754,0.899
9,4D-C-Z4.tif,0.002,0.156,0.967,0.059,943,5,111.801,0.044,1.181,0.847,0.912
10,4D-C-Z4.tif,0.002,0.198,0.735,0.072,448,14,32.471,0.053,1.308,0.764,0.835
11,4D-C-Z4.tif,0.003,0.237,0.656,0.098,595,6,141.843,0.050,2.232,0.448,0.808
12,4D-C-Z4.tif,0.003,0.191,0.880,0.069,952,17,61.390,0.056,1.238,0.808,0.884
13,4D-C-Z4.tif,0.008,0.394,0.642,0.150,77,24,36.027,0.091,1.687,0.593,0.868
14,4D-C-Z4.tif,0.003,0.272,0.459,0.115,854,19,35.218,0.044,2.845,0.351,0.704
15,4D-C-Z4.tif,0.006,0.406,0.460,0.121,496,8,136.848,0.094,1.251,0.800,0.715
16,4D-C-Z4.tif,0.002,0.172,0.851,0.059,528,10,158.199,0.052,1.035,0.967,0.852
17,4D-C-Z4.tif,0.002,0.183,0.649,0.068,771,13,165.964,0.044,1.609,0.621,0.786
18,4D-C-Z4.tif,0.002,0.180,0.708,0.072,909,15,22.620,0.044,1.936,0.516,0.789
