Label,Muestra,Orientacion,Zona,Zoom,N_poros,Area_media,Area_mediana,Area_std,Area_min,Area_max,Feret_media,Feret_mediana,Feret_std,Feret_min,Feret_max,Circularidad_media,Circularidad_std,AR_medio,AR_std,Solidity_media,Solidity_std
1D-C-Z1.tif,1,D,C,1,349,1.684936963,1.331,1.175228746,0.505,9.626,1.868753582,1.714,0.769770836,0.958,7.841,0.781550143,0.195898287,1.57917192,0.628131007,0.870971347,0.095902455
1D-C-Z2.tif,1,D,C,2,124,1.388451613,0.961,1.193053576,0.202,6.025,1.635596774,1.55,0.624266346,0.614,3.667,0.650435484,0.216031549,1.768282258,0.883728967,0.865822581,0.109296869
1D-C-Z3.tif,1,D,C,3,10,2.0558,1.61,1.938768555,0.237,6.034,1.808,1.6185,0.847616134,0.823,3.365,0.549,0.272389019,1.5209,0.512069537,0.8429,0.17310655
1D-D-Z1.tif,1,D,D,1,367,1.647029973,1.322,1.257977826,0.505,10.922,1.849057221,1.692,0.720502276,0.945,6.839,0.759645777,0.20732098,1.584713896,0.592881352,0.860882834,0.099085325
1D-D-Z2.tif,1,D,D,2,148,1.194918919,0.7255,1.215676814,0.202,8.699,1.570047297,1.439,0.603736442,0.617,3.884,0.581141892,0.238638941,1.931472973,1.069445679,0.817331081,0.142767038
1D-D-Z3.tif,1,D,D,3,12,1.013416667,0.2915,1.076971888,0.203,3.345,1.390583333,1.201,0.587690156,0.66,2.343,0.529916667,0.255846352,1.922916667,0.78390334,0.821666667,0.170355422
1D-U-Z1.tif,1,D,U,1,346,1.439855491,1.0865,1.058765889,0.505,12.27,1.683942197,1.568,0.543511494,0.958,5.244,0.798991329,0.187973564,1.520398844,0.547294873,0.876182081,0.08785412
1D-U-Z2.tif,1,D,U,2,138,1.10815942,0.704,1.286009083,0.205,11.338,1.498753623,1.3625,0.558944937,0.602,4.353,0.627782609,0.222677002,1.877014493,0.924108361,0.842536232,0.129631435
1D-U-Z3.tif,1,D,U,3,7,0.693428571,0.519,0.596032118,0.233,1.874,1.200428571,1.124,0.284689221,0.739,1.637,0.536714286,0.233760358,2.036714286,1.468054917,0.852,0.117951968
1U-C-Z1.tif,1,U,C,1,412,1.803837379,1.364,1.394725117,0.505,9.811,2.016701456,1.782,0.850307072,0.958,6.241,0.709354369,0.218432651,1.739012136,0.885403177,0.840533981,0.106956804
1U-C-Z2.tif,1,U,C,2,173,1.140589595,0.73,1.018022958,0.206,4.859,1.630213873,1.511,0.671319081,0.654,4.41,0.519919075,0.233018275,2.050283237,1.212909339,0.79365896,0.135029086
1U-C-Z3.tif,1,U,C,3,9,0.973777778,0.497,0.993214576,0.219,3.132,1.298333333,1.116,0.421982227,0.859,2.177,0.428,0.219536443,1.591555556,0.601535766,0.789444444,0.169407136
1U-D-Z1.tif,1,U,D,1,371,1.899134771,1.507,1.487718832,0.505,18.729,2.016148248,1.892,0.74843067,0.958,5.788,0.744072776,0.214561735,1.675474394,0.788614475,0.85922372,0.100724838
1U-D-Z2.tif,1,U,D,2,157,1.191643312,0.748,1.204223806,0.201,9.359,1.586280255,1.473,0.565994924,0.663,3.842,0.552299363,0.229543987,1.975566879,0.926441595,0.807815287,0.139462513
1U-D-Z3.tif,1,U,D,3,5,1.585,1.493,1.503335791,0.235,4.034,1.9306,2.142,0.703129291,1.11,2.594,0.3934,0.237155645,2.022,0.587408716,0.8522,0.079976246
1U-U-Z1.tif,1,U,U,1,411,1.755304136,1.297,1.273286275,0.505,8.219,2.022776156,1.81,0.790190776,0.945,5.701,0.708284672,0.222597283,1.830214112,0.95790545,0.842459854,0.106886446
1U-U-Z2.tif,1,U,U,2,148,1.121277027,0.6355,1.166592076,0.203,5.464,1.500716216,1.32,0.588667133,0.622,3.348,0.566033784,0.233210962,1.944763514,0.956667696,0.812128378,0.12944367
1U-U-Z3.tif,1,U,U,3,11,1.627727273,0.947,1.736980892,0.227,5.721,1.610090909,1.482,0.714985238,0.682,2.938,0.467090909,0.220505081,1.473,0.585157415,0.852909091,0.124528274
2D-C-Z1.tif,2,D,C,1,440,1.529065909,1.2505,1.032456126,0.505,7.815,1.913359091,1.736,0.760798456,0.918,5.635,0.689813636,0.22251014,1.697206818,0.648459882,0.828147727,0.112213202
2D-C-Z2.tif,2,D,C,2,175,0.959908571,0.717,0.793483729,0.207,5.602,1.465857143,1.332,0.524861511,0.711,3.812,0.577954286,0.225864923,1.767834286,0.716793716,0.816468571,0.132674209
2D-C-Z3.tif,2,D,C,3,14,1.470571429,1.0045,1.384793221,0.24,5.515,1.648214286,1.572,0.556956037,0.917,2.951,0.453642857,0.177451448,1.6785,0.816259645,0.868928571,0.073610685
2D-D-Z1.tif,2,D,D,1,468,1.760752137,1.288,1.419803356,0.505,12.194,2.059,1.803,0.964462989,0.958,8.003,0.673143162,0.223842248,1.775589744,0.829514973,0.824495726,0.108563198
2D-D-Z2.tif,2,D,D,2,211,1.027132701,0.681,0.906988771,0.203,4.913,1.495303318,1.355,0.580437858,0.654,3.772,0.589,0.216113176,1.732450237,0.658230725,0.825819905,0.123554213
2D-D-Z3.tif,2,D,D,3,15,1.4852,1.68,0.831402962,0.371,3.398,1.8106,1.727,0.508500569,1.053,2.809,0.410333333,0.222876861,1.517066667,0.384118186,0.842866667,0.103359198
2D-U-Z1.tif,2,D,U,1,456,1.46527193,1.204,0.950401655,0.505,6.207,1.916464912,1.731,0.778604843,0.936,6.536,0.657633772,0.228762634,1.779432018,0.795559365,0.814760965,0.110874892
2D-U-Z2.tif,2,D,U,2,188,0.803867021,0.6195,0.616596331,0.201,3.473,1.407494681,1.272,0.543019263,0.569,3.177,0.53806383,0.22011146,1.836106383,0.723678703,0.795047872,0.128525005
2D-U-Z3.tif,2,D,U,3,11,1.024545455,0.791,0.938501504,0.231,3.336,1.432181818,1.193,0.609588192,0.686,2.882,0.444,0.193202484,1.588636364,0.445336563,0.835818182,0.112489838
2U-C-Z1.tif,2,U,C,1,408,1.513431373,1.1915,1.021814013,0.505,6.67,1.962477941,1.777,0.867170138,0.918,7.524,0.653232843,0.226942031,1.755071078,0.745115836,0.811235294,0.11349151
2U-C-Z2.tif,2,U,C,2,192,0.770390625,0.522,0.702443118,0.201,3.753,1.367807292,1.232,0.538601592,0.697,3.988,0.490239583,0.214255645,1.880328125,0.784806096,0.774447917,0.12874687
2U-C-Z3.tif,2,U,C,3,11,0.821545455,0.523,0.826658256,0.218,2.732,1.429909091,1.31,0.503796676,0.723,2.192,0.429,0.210680801,2.104272727,0.952266044,0.817272727,0.104688195
2U-D-Z1.tif,2,U,D,1,420,1.465354762,1.112,1.130294589,0.505,9.365,1.894952381,1.692,0.750090618,0.945,5.544,0.646635714,0.22505528,1.718685714,0.662769233,0.806752381,0.113961496
