Slice,Count,Total Area,Average Size,%Area,Perim.,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
gcb8285.tif,204,157.005,0.770,16.718,3.266,0.696,0.857,1.145,509.025,357.225,87.425,0.724
gcb8288.tif,205,180.611,0.881,19.231,3.345,0.712,0.870,1.168,503.185,349.434,86.195,0.762
gcb8291.tif,227,187.058,0.824,19.918,3.503,0.647,0.834,1.212,488.802,378.211,93.756,0.754
gcb8294.tif,316,185.695,0.588,19.773,3.188,0.630,0.820,1.094,527.035,367.161,93.089,0.669
gcb8297.tif,341,170.530,0.500,18.158,3.049,0.596,0.798,1.031,492.501,365.994,92.721,0.612
gcb8300.tif,384,191.434,0.499,20.384,3.087,0.588,0.797,1.046,510.062,359.549,90.494,0.621
gcb8303.tif,461,233.454,0.506,24.858,2.796,0.731,0.876,1.008,500.807,367.239,93.722,0.624
gcb8306.tif,427,207.599,0.486,22.105,2.831,0.658,0.838,0.996,491.555,365.906,92.987,0.598
gcb8309.tif,407,207.130,0.509,22.055,3.064,0.644,0.837,1.071,500.440,365.919,93.730,0.625
gcb8324.tif,273,189.799,0.695,20.210,3.157,0.649,0.831,1.114,504.546,364.648,89.917,0.666
gcb8327.tif,287,205.557,0.716,21.887,3.325,0.630,0.826,1.154,491.171,382.366,93.087,0.693
gcb8330.tif,285,203.196,0.713,21.636,3.173,0.649,0.830,1.109,459.965,365.361,90.012,0.678
gcb8333.tif,345,171.495,0.497,18.261,2.983,0.633,0.814,1.036,532.852,377.696,89.895,0.614
gcb8336.tif,326,197.088,0.605,20.986,3.081,0.649,0.827,1.065,532.009,368.172,91.653,0.666
gcb8339.tif,369,241.492,0.654,25.714,3.077,0.649,0.827,1.069,536.981,363.653,85.383,0.675
gcb8342.tif,466,224.789,0.482,23.935,2.910,0.643,0.832,1.014,540.084,357.373,94.175,0.597
gcb8345.tif,385,221.539,0.575,23.589,3.194,0.640,0.835,1.102,539.694,364.169,93.699,0.648
gcb8348.tif,356,217.706,0.612,23.181,3.443,0.619,0.837,1.235,499.404,362.374,108.380,0.655
