archivo,carpeta,muestra,mitad,aumento_x,px_nm,fov_um,eht_kv,wd_mm,ancho_px,alto_px
gcb8323.tif,1 abajo,1,abajo,3000,91.8,94.0,2.3,7.97,1024,768
gcb8324.tif,1 abajo,1,abajo,8000,34.42,35.3,2.3,7.97,1024,768
gcb8325.tif,1 abajo,1,abajo,20000,13.77,14.1,2.3,7.97,1024,768
gcb8326.tif,1 abajo,1,abajo,3000,91.8,94.0,2.3,7.94,1024,768
gcb8327.tif,1 abajo,1,abajo,8000,34.42,35.3,2.3,7.94,1024,768
gcb8328.tif,1 abajo,1,abajo,20000,13.77,14.1,2.3,7.94,1024,768
gcb8329.tif,1 abajo,1,abajo,3000,91.8,94.0,2.3,7.96,1024,768
gcb8330.tif,1 abajo,1,abajo,8000,34.42,35.3,2.3,7.96,1024,768
gcb8331.tif,1 abajo,1,abajo,20000,13.77,14.1,2.3,7.96,1024,768
gcb8284.tif,1 arriba,1,arriba,3000,91.8,94.0,2.3,7.5,1024,768
gcb8285.tif,1 arriba,1,arriba,8000,34.42,35.3,2.3,7.5,1024,768
gcb8286.tif,1 arriba,1,arriba,20000,13.77,14.1,2.3,7.5,1024,768
gcb8287.tif,1 arriba,1,arriba,3000,91.8,94.0,2.3,7.75,1024,768
gcb8288.tif,1 arriba,1,arriba,8000,34.42,35.3,2.3,7.75,1024,768
gcb8289.tif,1 arriba,1,arriba,20000,13.77,14.1,2.3,7.75,1024,768
gcb8290.tif,1 arriba,1,arriba,3000,91.8,94.0,2.3,7.78,1024,768
gcb8291.tif,1 arriba,1,arriba,8000,34.42,35.3,2.3,7.78,1024,768
gcb8292.tif,1 arriba,1,arriba,20000,13.77,14.1,2.3,7.78,1024,768
gcb8332.tif,2 abajo,2,abajo,3000,91.8,94.0,2.3,8.57,1024,768
gcb8333.tif,2 abajo,2,abajo,8000,34.42,35.3,2.3,8.57,1024,768
gcb8334.tif,2 abajo,2,abajo,20000,13.77,14.1,2.3,8.57,1024,768
gcb8335.tif,2 abajo,2,abajo,3000,91.8,94.0,2.3,8.27,1024,768
gcb8336.tif,2 abajo,2,abajo,8000,34.42,35.3,2.3,8.27,1024,768
gcb8337.tif,2 abajo,2,abajo,20000,13.77,14.1,2.3,8.27,1024,768
gcb8338.tif,2 abajo,2,abajo,3000,91.8,94.0,2.3,8.0,1024,768
gcb8339.tif,2 abajo,2,abajo,8000,34.42,35.3,2.3,8.0,1024,768
gcb8340.tif,2 abajo,2,abajo,20000,13.77,14.1,2.3,8.0,1024,768
gcb8293.tif,2 arriba,2,arriba,3000,91.8,94.0,2.3,7.63,1024,768
gcb8294.tif,2 arriba,2,arriba,8000,34.42,35.3,2.3,7.63,1024,768
gcb8295.tif,2 arriba,2,arriba,20000,13.77,14.1,2.3,7.63,1024,768
gcb8296.tif,2 arriba,2,arriba,3000,91.8,94.0,2.3,6.93,1024,768
gcb8297.tif,2 arriba,2,arriba,8000,34.42,35.3,2.3,6.93,1024,768
gcb8298.tif,2 arriba,2,arriba,20000,13.77,14.1,2.3,6.93,1024,768
gcb8299.tif,2 arriba,2,arriba,3000,91.8,94.0,2.3,6.65,1024,768
gcb8300.tif,2 arriba,2,arriba,8000,34.42,35.3,2.3,6.65,1024,768
gcb8301.tif,2 arriba,2,arriba,20000,13.77,14.1,2.3,6.65,1024,768
gcb8341.tif,3 abajo,3,abajo,3000,91.8,94.0,2.3,8.18,1024,768
gcb8342.tif,3 abajo,3,abajo,8000,34.42,35.3,2.3,8.18,1024,768
gcb8343.tif,3 abajo,3,abajo,20000,13.77,14.1,2.3,8.18,1024,768
gcb8344.tif,3 abajo,3,abajo,3000,91.8,94.0,2.3,8.22,1024,768
gcb8345.tif,3 abajo,3,abajo,8000,34.42,35.3,2.3,8.22,1024,768
gcb8346.tif,3 abajo,3,abajo,20000,13.77,14.1,2.3,8.22,1024,768
gcb8347.tif,3 abajo,3,abajo,3000,91.8,94.0,2.3,8.15,1024,768
gcb8348.tif,3 abajo,3,abajo,8000,34.42,35.3,2.3,8.15,1024,768
gcb8349.tif,3 abajo,3,abajo,20000,13.77,14.1,2.3,8.14,1024,768
gcb8302.tif,3 arriba,3,arriba,3000,91.8,94.0,2.3,7.59,1024,768
gcb8303.tif,3 arriba,3,arriba,8000,34.42,35.3,2.3,7.59,1024,768
gcb8304.tif,3 arriba,3,arriba,20000,13.77,14.1,2.3,7.59,1024,768
gcb8305.tif,3 arriba,3,arriba,3000,91.8,94.0,2.3,7.52,1024,768
gcb8306.tif,3 arriba,3,arriba,8000,34.42,35.3,2.3,7.52,1024,768
gcb8307.tif,3 arriba,3,arriba,20000,13.77,14.1,2.3,7.52,1024,768
gcb8308.tif,3 arriba,3,arriba,3000,91.8,94.0,2.3,7.72,1024,768
gcb8309.tif,3 arriba,3,arriba,8000,34.42,35.3,2.3,7.72,1024,768
gcb8310.tif,3 arriba,3,arriba,20000,13.77,14.1,2.3,7.72,1024,768
gcb8350.tif,4 abajo,4,abajo,3000,91.8,94.0,2.3,7.62,1024,768
gcb8351.tif,4 abajo,4,abajo,8000,34.42,35.3,2.3,7.62,1024,768
gcb8352.tif,4 abajo,4,abajo,20000,13.77,14.1,2.3,7.62,1024,768
gcb8353.tif,4 abajo,4,abajo,50000,5.51,5.6,2.3,7.62,1024,768
gcb8354.tif,4 abajo,4,abajo,3000,91.8,94.0,2.3,7.54,1024,768
gcb8355.tif,4 abajo,4,abajo,8000,34.42,35.3,2.3,7.54,1024,768
gcb8356.tif,4 abajo,4,abajo,20000,13.77,14.1,2.3,7.54,1024,768
gcb8357.tif,4 abajo,4,abajo,50000,5.51,5.6,2.3,7.54,1024,768
gcb8358.tif,4 abajo,4,abajo,3000,91.8,94.0,2.3,7.67,1024,768
gcb8359.tif,4 abajo,4,abajo,8000,34.42,35.3,2.3,7.67,1024,768
gcb8360.tif,4 abajo,4,abajo,20000,13.77,14.1,2.3,7.67,1024,768
gcb8361.tif,4 abajo,4,abajo,50000,5.51,5.6,2.3,7.67,1024,768
gcb8311.tif,4 arriba,4,arriba,3000,91.8,94.0,2.3,7.6,1024,768
gcb8312.tif,4 arriba,4,arriba,8000,34.42,35.3,2.3,7.6,1024,768
gcb8313.tif,4 arriba,4,arriba,20000,13.77,14.1,2.3,7.6,1024,768
gcb8314.tif,4 arriba,4,arriba,50000,5.51,5.6,2.3,7.6,1024,768
gcb8315.tif,4 arriba,4,arriba,3000,91.8,94.0,2.3,8.01,1024,768
gcb8316.tif,4 arriba,4,arriba,8000,34.42,35.3,2.3,8.01,1024,768
gcb8317.tif,4 arriba,4,arriba,20000,13.77,14.1,2.3,8.01,1024,768
gcb8318.tif,4 arriba,4,arriba,50000,5.51,5.6,2.3,8.01,1024,768
gcb8319.tif,4 arriba,4,arriba,3000,91.8,94.0,2.3,8.05,1024,768
gcb8320.tif,4 arriba,4,arriba,8000,34.42,35.3,2.3,8.05,1024,768
gcb8321.tif,4 arriba,4,arriba,20000,13.77,14.1,2.3,8.05,1024,768
gcb8322.tif,4 arriba,4,arriba,50000,5.51,5.6,2.3,8.05,1024,768
