muestra,metodo,sub_lo,sub_hi,s,s_err,curvatura
1,regresion,470.0,590.0,0.5739,0.4304,3.3881
1,spline,470.0,590.0,0.5867,0.2114,3.2244
1,regresion,600.0,745.0,0.1875,0.1908,0.1475
1,spline,600.0,745.0,0.1962,0.0234,-0.0305
2,regresion,470.0,590.0,0.5666,0.4172,3.0104
2,spline,470.0,590.0,0.5833,0.2047,3.1227
2,regresion,600.0,745.0,0.2024,0.2124,0.0858
2,spline,600.0,745.0,0.2094,0.023,-0.0653
3,regresion,470.0,590.0,0.5911,0.4584,3.1697
3,spline,470.0,590.0,0.6038,0.2012,3.0684
3,regresion,600.0,745.0,0.2286,0.1913,0.054
3,spline,600.0,745.0,0.2376,0.0227,-0.0742
4,regresion,470.0,590.0,1.287,0.7359,2.1154
4,spline,470.0,590.0,1.3053,0.1075,1.5789
4,regresion,600.0,745.0,1.4375,0.2733,-2.1401
4,spline,600.0,745.0,1.448,0.1737,-2.7831
