muestra,mitad,archivo,total_um,total_ok,nucleo_um,capturado,nucleo_ok
1,abajo,gcb8323.tif,82.7,True,41.9,0.71,True
1,abajo,gcb8326.tif,82.4,True,51.5,0.861,True
1,abajo,gcb8329.tif,81.9,True,46.3,0.79,True
1,arriba,gcb8284.tif,83.2,True,50.5,0.838,True
1,arriba,gcb8287.tif,88.1,False,12.6,0.281,False
1,arriba,gcb8290.tif,82.5,True,6.8,0.191,False
2,abajo,gcb8332.tif,79.3,True,51.6,0.853,True
2,abajo,gcb8335.tif,78.1,True,51.4,0.907,True
2,abajo,gcb8338.tif,94.0,False,31.5,0.44,False
2,arriba,gcb8293.tif,84.2,True,35.8,0.52,False
2,arriba,gcb8296.tif,78.4,True,47.7,0.765,True
2,arriba,gcb8299.tif,79.4,True,47.6,0.778,True
3,abajo,gcb8341.tif,77.7,True,8.3,0.124,False
3,abajo,gcb8344.tif,78.1,True,44.9,0.692,False
3,abajo,gcb8347.tif,80.2,True,35.1,0.519,False
3,arriba,gcb8302.tif,84.1,True,39.2,0.523,False
3,arriba,gcb8305.tif,78.1,True,16.8,0.254,False
3,arriba,gcb8308.tif,76.7,True,61.2,0.909,True
4,abajo,gcb8350.tif,94.0,False,nan,nan,False
4,abajo,gcb8354.tif,87.0,False,nan,nan,False
4,abajo,gcb8358.tif,94.0,False,nan,nan,False
4,arriba,gcb8311.tif,81.3,True,nan,nan,False
4,arriba,gcb8315.tif,78.3,True,nan,nan,False
4,arriba,gcb8319.tif,88.0,False,nan,nan,False
