entorno,cierre,x_mediana,s_rojo,R600
1-3,monodisperso,0.15,2.46939,0.10555
1-3,monodisperso,0.20003,2.62349,0.1785
1-3,monodisperso,0.26674,2.30443,0.27782
1-3,monodisperso,0.35571,1.80769,0.39032
1-3,monodisperso,0.47434,1.28321,0.48697
1-3,monodisperso,0.63254,1.00465,0.57483
1-3,monodisperso,0.84351,0.80553,0.6609
1-3,monodisperso,1.12484,0.39552,0.68715
1-3,monodisperso,1.5,0.17277,0.66653
1-3,monodisperso,2.00028,0.18501,0.6487
1-3,monodisperso,2.66742,0.14664,0.6167
1-3,monodisperso,3.55706,0.14107,0.58593
1-3,monodisperso,4.74342,0.09831,0.5466
1-3,monodisperso,6.32545,0.1126,0.50145
1-3,monodisperso,8.43512,0.07301,0.45737
1-3,monodisperso,11.24841,0.0209,0.4111
1-3,monodisperso,15.0,0.07992,0.37033
1-3,desacople,0.15,2.65135,0.2503
1-3,desacople,0.20003,2.10916,0.37698
1-3,desacople,0.26674,1.40701,0.48873
1-3,desacople,0.35571,0.95888,0.58032
1-3,desacople,0.47434,0.6833,0.63572
1-3,desacople,0.63254,0.49587,0.66897
1-3,desacople,0.84351,0.45426,0.7065
1-3,desacople,1.12484,0.25431,0.7049
1-3,desacople,1.5,0.17215,0.68495
1-3,desacople,2.00028,0.18319,0.65675
1-3,desacople,2.66742,0.14055,0.62697
1-3,desacople,3.55706,0.13761,0.59098
1-3,desacople,4.74342,0.14245,0.54878
1-3,desacople,6.32545,0.05835,0.50208
1-3,desacople,8.43512,0.06323,0.45475
1-3,desacople,11.24841,0.02541,0.41332
1-3,desacople,15.0,0.06636,0.36955
4,monodisperso,0.15,2.27237,0.0583
4,monodisperso,0.20003,2.48778,0.0956
4,monodisperso,0.26674,2.53916,0.15668
4,monodisperso,0.35571,2.20606,0.23955
4,monodisperso,0.47434,1.82152,0.33085
4,monodisperso,0.63254,1.49817,0.43238
4,monodisperso,0.84351,1.54941,0.57285
4,monodisperso,1.12484,0.98965,0.7128
4,monodisperso,1.5,0.17111,0.70127
4,monodisperso,2.00028,0.24183,0.68532
4,monodisperso,2.66742,0.15313,0.66258
4,monodisperso,3.55706,0.15315,0.6318
4,monodisperso,4.74342,0.11385,0.59308
4,monodisperso,6.32545,0.11856,0.5498
4,monodisperso,8.43512,0.04826,0.49533
4,monodisperso,11.24841,0.04608,0.45115
4,monodisperso,15.0,0.12599,0.4022
4,desacople,0.15,2.58819,0.27372
4,desacople,0.20003,2.0287,0.405
4,desacople,0.26674,1.35524,0.5223
4,desacople,0.35571,0.89774,0.61055
4,desacople,0.47434,0.58112,0.66055
4,desacople,0.63254,0.417,0.6814
4,desacople,0.84351,0.47208,0.70517
4,desacople,1.12484,0.38315,0.73572
4,desacople,1.5,0.19542,0.72388
4,desacople,2.00028,0.17688,0.703
4,desacople,2.66742,0.15142,0.6716
4,desacople,3.55706,0.12499,0.63235
4,desacople,4.74342,0.12552,0.59255
4,desacople,6.32545,0.08666,0.55092
4,desacople,8.43512,0.09019,0.49762
4,desacople,11.24841,0.0968,0.45035
4,desacople,15.0,0.02894,0.4032
